Id,Published List Name,Standardized (current name),Year,ID,School,Rank
1,Best Science Lab Facilities,Best Science Lab Facilities,2021,1023596,Lehigh University,7
2,Little Race/Class Interaction,Little Race/Class Interaction,2021,1023596,Lehigh University,15
3,Lots of Greek Life,Lots of Greek Life,2021,1023596,Lehigh University,11
4,Most Beautiful Campus,Most Beautiful Campus,2021,1023596,Lehigh University,8
5,Students Study the Most,Students Study the Most,2021,1023596,Lehigh University,20
6,Their Students Love These Colleges,Their Students Love These Colleges,2021,1023596,Lehigh University,9
7,Town-Gown Relations Are Strained,Town-Gown Relations Are Strained,2021,1023596,Lehigh University,13
8,Best College Library,Best College Library,2020,1023596,Lehigh University,10
9,Best Science Lab Facilities,Best Science Lab Facilities,2020,1023596,Lehigh University,1
10,Everyone Plays Intramural Sports,Everyone Plays Intramural Sports,2020,1023596,Lehigh University,20
11,Great Financial Aid,Great Financial Aid,2020,1023596,Lehigh University,16
12,Lots of Greek Life,Lots of Greek Life,2020,1023596,Lehigh University,10
13,Most Beautiful Campus,Most Beautiful Campus,2020,1023596,Lehigh University,12
14,Students Study the Most,Students Study the Most,2020,1023596,Lehigh University,13
15,Their Students Love These Colleges,Their Students Love These Colleges,2020,1023596,Lehigh University,7
16,Town-Gown Relations are Strained ,Town-Gown Relations are Strained ,2020,1023596,Lehigh University,14
17,Best Science Lab Facilities,Best Science Lab Facilities,2019,1023596,Lehigh University,1
18,College City Gets Low Marks,College City Gets Low Marks,2019,1023596,Lehigh University,15
19,Little Race/Class Interaction,Little Race/Class Interaction,2019,1023596,Lehigh University,16
20,Lots of Beer,Lots of Beer,2019,1023596,Lehigh University,1
21,Lots of Greek Life,Lots of Greek Life,2019,1023596,Lehigh University,14
22,Party Schools,Party Schools,2019,1023596,Lehigh University,6
23,Town-Gown Relations Are Strained,Town-Gown Relations Are Strained,2019,1023596,Lehigh University,5
24,Best Science Lab Facilities,Best Science Lab Facilities,2018,1023596,Lehigh University,4
25,LGBTQ-Unfriendly,LGBTQ-Unfriendly,2018,1023596,Lehigh University,14
26,Lots of Beer,Lots of Beer,2018,1023596,Lehigh University,4
27,Lots of Greek Life,Lots of Greek Life,2018,1023596,Lehigh University,3
28,Party Schools,Party Schools,2018,1023596,Lehigh University,9
29,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2018,1023596,Lehigh University,12
30,Best Science Lab Facilities,Best Science Lab Facilities,2017,1023596,Lehigh University,8
31,LGBTQ-Unfriendly,LGBTQ-Unfriendly,2017,1023596,Lehigh University,16
32,Lots of Beer,Lots of Beer,2017,1023596,Lehigh University,5
33,Lots of Greek Life,Lots of Greek Life,2017,1023596,Lehigh University,7
34,Party Schools,Party Schools,2017,1023596,Lehigh University,4
35,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2017,1023596,Lehigh University,5
36,Best Science Lab Facilities,Best Science Lab Facilities,2016,1023596,Lehigh University,9
37,LGBTQ-Unfriendly,LGBTQ-Unfriendly,2016,1023596,Lehigh University,11
38,Lots of Beer,Lots of Beer,2016,1023596,Lehigh University,3
39,Lots of Greek Life,Lots of Greek Life,2016,1023596,Lehigh University,9
40,Party Schools,Party Schools,2016,1023596,Lehigh University,11
41,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2016,1023596,Lehigh University,3
42,BEST COLLEGE LIBRARY,Best College Library,2015,1023596,Lehigh University,20
43,BEST SCIENCE LAB FACILITIES,Best Science Lab Facilities,2015,1023596,Lehigh University,14
44,LITTLE RACE/CLASS INTERACTION,Little Race/Class Interaction,2015,1023596,Lehigh University,10
45,LOTS OF BEER,Lots of Beer,2015,1023596,Lehigh University,7
46,LOTS OF GREEK LIFE,Lots of Greek Life,2015,1023596,Lehigh University,10
47,LOTS OF HARD LIQUOR,Lots of Hard Liquor,2015,1023596,Lehigh University,16
48,PARTY SCHOOLS,Party Schools,2015,1023596,Lehigh University,6
49,TOWN-GOWN RELATIONS ARE STRAINED,Town-Gown Relations are Strained,2015,1023596,Lehigh University,3
50,COLLEGE CITY GETS LOW MARKS,College City Gets Low Marks,2014,1023596,Lehigh University,17
51,LITTLE RACE/CLASS INTERACTION,Little Race/Class Interaction,2014,1023596,Lehigh University,9
52,LOTS OF BEER,Lots of Beer,2014,1023596,Lehigh University,10
53,LOTS OF GREEK LIFE,Lots of Greek Life,2014,1023596,Lehigh University,10
54,LOTS OF HARD LIQUOR,Lots of Hard Liquor,2014,1023596,Lehigh University,13
55,PARTY SCHOOLS,Party Schools,2014,1023596,Lehigh University,10
56,TOWN-GOWN RELATIONS ARE STRAINED,Town-Gown Relations are Strained,2014,1023596,Lehigh University,2
57,COLLEGE TOWN NOT SO GREAT,College City Gets Low Marks,2013,1023596,Lehigh University,17
58,TOWN-GOWN RELATIONS ARE STRAINED,Town-Gown Relations are Strained,2013,1023596,Lehigh University,3
59,COLLEGE TOWN NOT SO GREAT,College City Gets Low Marks,2012,1023596,Lehigh University,15
60,ELECTION? WHAT ELECTION?,Election? What Election? ,2012,1023596,Lehigh University,14
61,LITTLE RACE/CLASS INTERACTION,Little Race/Class Interaction,2012,1023596,Lehigh University,10
62,LOTS OF BEER,Lots of Beer,2012,1023596,Lehigh University,16
63,MAJOR FRAT AND SORORITY SCENE,Lots of Greek Life,2012,1023596,Lehigh University,7
64,TOWN-GOWN RELATIONS ARE STRAINED,Town-Gown Relations are Strained,2012,1023596,Lehigh University,2
65,Little Race/Class Interaction,Little Race/Class Interaction,2011,1023596,Lehigh University,12
66,Lots of Beer,Lots of Beer,2011,1023596,Lehigh University,16
67,Major Frat and Sorority Scene,Lots of Greek Life,2011,1023596,Lehigh University,6
68,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2011,1023596,Lehigh University,2
69,Little Race/Class Interaction,Little Race/Class Interaction,2010,1023596,Lehigh University,13
70,Lots of Beer,Lots of Beer,2010,1023596,Lehigh University,11
71,Major Frat and Sorority Scene,Lots of Greek Life,2010,1023596,Lehigh University,7
72,Lots of Hard Liquor,Lots of Hard Liquor,2010,1023596,Lehigh University,14
73,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2010,1023596,Lehigh University,3
74,Homogeneous Student Population,Homogeneous Student Population,2009,1023596,Lehigh University,18
75,Little Race/Class Interaction,Little Race/Class Interaction,2009,1023596,Lehigh University,12
76,Lots of Beer,Lots of Beer,2009,1023596,Lehigh University,20
77,Major Frat and Sorority Scene,Lots of Greek Life,2009,1023596,Lehigh University,9
78,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2009,1023596,Lehigh University,3
79,More to Do on Campus,College City Gets Low Marks,2008,1023596,Lehigh University,10
80,Homogeneous Student Population,Homogeneous Student Population,2008,1023596,Lehigh University,13
81,More to Do on Campus,College City Gets Low Marks,2007,1023596,Lehigh University,9
82,Homogeneous Student Population,Homogeneous Student Population,2007,1023596,Lehigh University,17
83,Lots of Hard Liquor,Lots of Hard Liquor,2007,1023596,Lehigh University,19
84,Party Schools,Party Schools,2007,1023596,Lehigh University,17
85,Reefer Madness,Reefer Madness,2007,1023596,Lehigh University,10
86,More to Do on Campus,College City Gets Low Marks,2006,1023596,Lehigh University,6
87,Homogeneous Student population,Homogeneous Student Population,2006,1023596,Lehigh University,15
88,Lots of Beer,Lots of Beer,2006,1023596,Lehigh University,6
89,Major Frat and Sorority Scene,Lots of Greek Life,2006,1023596,Lehigh University,16
90,Lots of Hard Liquor,Lots of Hard Liquor,2006,1023596,Lehigh University,12
91,Party Schools,Party Schools,2006,1023596,Lehigh University,3
92,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2006,1023596,Lehigh University,3
93,More to Do on Campus,College City Gets Low Marks,2005,1023596,Lehigh University,9
94,Homogeneous Student population,Homogeneous Student Population,2005,1023596,Lehigh University,20
95,Little Race/Class Interaction,Little Race/Class Interaction,2005,1023596,Lehigh University,12
96,Lots of Hard Liquor,Lots of Hard Liquor,2005,1023596,Lehigh University,20
97,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2005,1023596,Lehigh University,3
98,More to Do on Campus,College City Gets Low Marks,2004,1023596,Lehigh University,16
99,Election? What Election? ,Election? What Election? ,2004,1023596,Lehigh University,13
100,Little Race/Class Interaction,Little Race/Class Interaction,2004,1023596,Lehigh University,18
101,Lots of Hard Liquor,Lots of Hard Liquor,2004,1023596,Lehigh University,16
102,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2004,1023596,Lehigh University,4
103,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2004,1023596,Lehigh University,4
104,Best Academic Bang for Your Buck,Best Academic Bang for Your Buck,2003,1023596,Lehigh University,3
105,Election? What Election?,Election? What Election? ,2003,1023596,Lehigh University,13
106,Little Race/Class Interaction,Little Race/Class Interaction,2003,1023596,Lehigh University,19
107,Reefer Madness,Reefer Madness,2003,1023596,Lehigh University,13
108,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2003,1023596,Lehigh University,2
109,Election? What Election?,Election? What Election? ,2002,1023596,Lehigh University,6
110,Homogeneous student body,Homogeneous Student Population,2002,1023596,Lehigh University,16
111,Little Race/Class Interaction,Little Race/Class Interaction,2002,1023596,Lehigh University,15
112,Lots of Beer,Lots of Beer,2002,1023596,Lehigh University,3
113,Students Most Nostalgic for Ronald Reagan,Most Conservative Students,2002,1023596,Lehigh University,4
114,Party Schools,Party Schools,2002,1023596,Lehigh University,15
115,Reefer Madness,Reefer Madness,2002,1023596,Lehigh University,9
116,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2002,1023596,Lehigh University,14
117,Election? What Election?,Election? What Election? ,2001,1023596,Lehigh University,12
118,Little Race/Class Interaction,Little Race/Class Interaction,2001,1023596,Lehigh University,16
119,Lots of Beer,Lots of Beer,2001,1023596,Lehigh University,8
120,Major Frat and Sorority Scene,Lots of Greek Life,2001,1023596,Lehigh University,15
121,Lots of Hard Liquor,Lots of Hard Liquor,2001,1023596,Lehigh University,5
122,Beautiful Campus,Most Beautiful Campus,2001,1023596,Lehigh University,14
123,Students Most Nostalgic for Reagan,Most Conservative Students,2001,1023596,Lehigh University,9
124,Party Schools,Party Schools,2001,1023596,Lehigh University,16
125,Reefer Madness,Reefer Madness,2001,1023596,Lehigh University,4
126,More to Do On Campus,College City Gets Low Marks,2000,1023596,Lehigh University,9
127,Little Race/Class Interaction,Little Race/Class Interaction,2000,1023596,Lehigh University,10
128,Lots of Beer,Lots of Beer,2000,1023596,Lehigh University,1
129,Major Frat and Sorority Scene,Lots of Greek Life,2000,1023596,Lehigh University,6
130,Lots of Hard Liquor,Lots of Hard Liquor,2000,1023596,Lehigh University,5
131,Party Schools,Party Schools,2000,1023596,Lehigh University,15
132,Town-Gown Relations are Strained,Town-Gown Relations are Strained,2000,1023596,Lehigh University,5
133,Great libraries,Best College Library,1999,1023596,Lehigh University,17
134,More to do on campus,College City Gets Low Marks,1999,1023596,Lehigh University,8
135,Jock schools,JOCK SCHOOLS,1999,1023596,Lehigh University,18
136,Race/class relations strained,Little Race/Class Interaction,1999,1023596,Lehigh University,19
137,Lots of beer,Lots of Beer,1999,1023596,Lehigh University,1
138,Major frat and sorority scene,Lots of Greek Life,1999,1023596,Lehigh University,7
139,Lots of hard liquor,Lots of Hard Liquor,1999,1023596,Lehigh University,9
140,Town-gown relations are strained,Town-Gown Relations are Strained,1999,1023596,Lehigh University,7
141,Great libraries,Best College Library,1998,1023596,Lehigh University,11
142,More to do on-campus,College City Gets Low Marks,1998,1023596,Lehigh University,10
143,Jock schools,JOCK SCHOOLS,1998,1023596,Lehigh University,18
144,Lots of beer,Lots of Beer,1998,1023596,Lehigh University,1
145,Major frat and sorority scene,Lots of Greek Life,1998,1023596,Lehigh University,7
146,Lots of hard liquor,Lots of Hard Liquor,1998,1023596,Lehigh University,10
147,Town-gown relations are strained,Town-Gown Relations are Strained,1998,1023596,Lehigh University,7
148,Great libraries,Best College Library,1997,1023596,Lehigh University,20
149,Students happy with financial aid,Great Financial Aid,1997,1023596,Lehigh University,7
150,Lots of beer,Lots of Beer,1997,1023596,Lehigh University,6
151,Major frat and sorority scene,Lots of Greek Life,1997,1023596,Lehigh University,3
152,Town-gown relations are strained,Town-Gown Relations are Strained,1997,1023596,Lehigh University,4
153,Great Libraries,Best College Library,1996,1023596,Lehigh University,18
154,Trapped on campus,College City Gets Low Marks,1996,1023596,Lehigh University,10
155,Jock schools,JOCK SCHOOLS,1996,1023596,Lehigh University,13
156,"Gay Students Ostracized, Discriminated Against",LGBTQ-Unfriendly,1996,1023596,Lehigh University,20
157,Major frat and sorority scene,Lots of Greek Life,1996,1023596,Lehigh University,2
158,Town gown relations are bad,Town-Gown Relations are Strained,1996,1023596,Lehigh University,5
159,Great Libraries,Best College Library,1995,1023596,Lehigh University,11
160,Trapped on Campus,College City Gets Low Marks,1995,1023596,Lehigh University,5
161,Jock Schools,JOCK SCHOOLS,1995,1023596,Lehigh University,13
162,Lots of Beer,Lots of Beer,1995,1023596,Lehigh University,3
163,Major Frat and Sorority Scene,Lots of Greek Life,1995,1023596,Lehigh University,3
164,Town-Gown Relations are Bad,Town-Gown Relations are Strained,1995,1023596,Lehigh University,5
165,Great Libraries,Best College Library,1994,1023596,Lehigh University,9
166,Trapped on Campus,College City Gets Low Marks,1994,1023596,Lehigh University,8
167,Jock Schools,JOCK SCHOOLS,1994,1023596,Lehigh University,13
168,Lots of Beer,Lots of Beer,1994,1023596,Lehigh University,5
169,Major Frat and Sorority Scene,Lots of Greek Life,1994,1023596,Lehigh University,3
170,Town-Gown Relations Are Bad,Town-Gown Relations are Strained,1994,1023596,Lehigh University,4
171,Great Libraries,Best College Library,1992,1023596,Lehigh University,8
172,Trapped on Campus,College City Gets Low Marks,1992,1023596,Lehigh University,6
173,Lots of Beer,Lots of Beer,1992,1023596,Lehigh University,7
174,Go Greek,Lots of Greek Life,1992,1023596,Lehigh University,3
175,Lots of Sex,Lots of Sex,1992,1023596,Lehigh University,19
176,Party Schools,Party Schools,1992,1023596,Lehigh University,20
177,Town-Gown Relations Are Bad,Town-Gown Relations are Strained,1992,1023596,Lehigh University,7